School Name,School Type,Early Career Pay,Mid-Career Pay,% STEM Degrees
Tufts University,"Private School, Research University",65200,118100,0.25
Embry-Riddle Aeronautical University-Prescott,Private School,65600,117900,0.43
Case Western Reserve University,"Private School, Research University",66600,117800,0.37
New York University,"Private School, Research University",63100,117700,0.18
Milwaukee School of Engineering,"Engineering, Private School",65700,117600,0.69
Union College (New York),"Liberal Arts School, Party School, Private School",63300,117500,0.47
University of Virginia-Main Campus,"Research University, For Sports Fans, State School",64500,117500,0.23
Massachusetts Maritime Academy,State School,67900,117500,0.47
Pomona College,"Liberal Arts School, Private School",63800,117200,0.37
Johns Hopkins University,"Private School, Research University",67200,117100,0.31
Wesleyan University,"Liberal Arts School, Private School",61600,117000,0.21
Fairfield University,"Private School, Religious, For Sports Fans",62300,116900,0.17
Bentley University,"Business, Private School",66600,116600,0.07
The King's University,"Private School, Religious",63800,116500,0.00
Amherst College,"Liberal Arts School, Private School",63800,116500,0.32
University of California-Santa Barbara,"Party School, Research University, For Sports Fans, State School",59700,116300,0.29
Michigan Technological University,"Engineering, Research University, State School",65000,116300,0.81
University of California-Los Angeles,"Research University, For Sports Fans, State School",62000,116100,0.31
University of California-Irvine,"Research University, For Sports Fans, State School",59600,116000,0.34
Texas A & M University-College Station,"Research University, For Sports Fans, State School",60600,115700,0.30
Northwestern University,"Private School, Research University, For Sports Fans",63400,115400,0.20
Boston College,"Private School, Religious, Research University, For Sports Fans",63600,115400,0.13
University of Illinois at Urbana-Champaign,"Party School, Research University, For Sports Fans, State School",62600,115300,0.36
George Washington University,"Private School, Research University, For Sports Fans",61400,115300,0.15
University of the Sciences,Private School,60700,115200,0.12
Washington University in St Louis,"Private School, Research University",64800,114900,0.30
Wake Forest University,"Party School, Private School, Research University, For Sports Fans",60700,114800,0.13
Drexel University,"Private School, Research University, For Sports Fans",61700,114800,0.28
San Jose State University,"For Sports Fans, State School",63000,114700,0.28
College of the Holy Cross,"Liberal Arts School, Private School, Religious, For Sports Fans",61800,114600,0.24
Wabash College,"Liberal Arts School, Private School",62200,114400,0.34
University of Chicago,"Private School, Research University",64000,114200,0.22
Virginia Polytechnic Institute and State University,"Research University, For Sports Fans, State School",62700,114000,0.42
Seattle University,"Private School, Religious, For Sports Fans",60600,113700,0.12
Boston University,"Private School, Research University, For Sports Fans",61400,113600,0.25
University of Maryland-College Park,"Research University, For Sports Fans, State School",61300,113400,0.33
Loyola Marymount University,"Private School, Religious, For Sports Fans",58500,113300,0.09
Brandeis University,"Private School, Research University",60600,113200,0.29
Yeshiva University,"Private School, Research University",63500,112800,0.11
The University of Texas at Austin,"Research University, For Sports Fans, State School",60700,112800,0.28
University of Rochester,"Private School, Research University",61100,112700,0.32
Wentworth Institute of Technology,Private School,62700,112700,0.39
University of California-Davis,"Research University, For Sports Fans, State School",61500,112600,0.35
Montana Tech of the University of Montana,"Engineering, State School",61200,112600,0.61
